species,mean,min,max,std,median,p95,non_zero_fraction,non_zero_count,cumulative_coverage
N2O3,2039353038363777.5,2.6812742409990456e-100,8.421713050679662e+18,7.20952670870742e+16,4.393154095780196e-26,3534877.5517058372,0.5732,91712,99.99995604149399
C2,1372030255970554.2,3.140026306841565e-59,9.680148159595524e+17,2.0398006885520816e+16,0.0003746529593871,45710604492016.984,0.93545,149672,99.99996874390924
H1N1O1,834443358417256.6,3.030303213433628e-40,3.050826924817216e+18,3.0168187740717636e+16,0.0008467915783795,218033044502.36206,0.99555625,159289,99.99997646928264
C1H2,820405757058915.8,8.902203459451503e-49,3.780326173516223e+18,3.3404378704129184e+16,0.0002151120463021,364964654377.8591,0.99228125,158765,99.99998406469432
H4N2,693341001891354.0,3.3164709535961152e-90,8.587103009312073e+18,4.6527888702536216e+16,5.489118718405615e-21,12708605.690775927,0.68049375,108879,99.99999048372574
C2N1O1,448193414963639.8,5.8155711869324086e-49,2.482981970530875e+18,1.7951497715992088e+16,9.664828151004592e-08,11460795137.338797,0.973475,155756,99.99999463315235
H1N1,127661187090625.44,3.2227443284853817e-18,1.528328393458904e+17,2581207376879831.0,126.62949578470543,843548872139.6364,1.0,160000,99.99999581505445
N2O4,110076883246666.45,8.095026469776477e-148,4.9149205335260006e+17,4280164997050684.0,4.88493652082049e-38,6449.198930555238,0.40391875,64627,99.99999683415899
H2N2,88137496274016.66,4.5330496781666034e-52,4.1079017438430835e+17,3181907823476117.0,2.245300275542865e-09,992283476.5068575,0.96389375,154223,99.99999765014614
C3N2O1,82969124297337.2,1.586490516093158e-86,4.735677488160562e+17,4146913852516143.5,2.731475120769731e-20,5497314.452154497,0.695225,111236,99.99999841828392
N2O5,37738896289449.57,1e-155,2.021631485655228e+17,1660844330850296.0,1.9737802903303334e-49,32.85859388544919,0.29526875,47243,99.999998767675
C,35075268246267.98,1.8320544367710017e-30,1.5040080912327994e+16,387228454660678.06,1551.1819279354763,12016593306579.01,1.0,160000,99.99999909240589
C2H4O3,30335984358673.594,1e-155,3.66248742235059e+17,2843535637832167.0,1.4887785591163567e-36,0.005749402605955467,0.4149,66384,99.99999937325997
H1S1-,24795212398247.94,1.5872931926814449e-37,3.8885957944128936e+16,440314531654161.4,0.005436381764079,765271269346.8109,0.9998875,159982,99.99999960281693
C2H2O2,13428240910579.162,4.71256069796962e-104,1.1207293094502752e+17,813845700251855.1,1.4022166394525811e-19,7419.6092076065315,0.738825,118212,99.99999972713714
C1H1,8901043088537.547,1.0151472899502908e-39,3.706554431833753e+16,338518677179904.25,0.1134517798417934,44114970258.04182,0.99823125,159717,99.99999980954402
C1N1O1,5882850380608.233,7.944074458666667e-24,5.305133568524261e+16,337737011208355.75,0.0044311220141707,1306863537.6333838,1.0,160000,99.99999986400813
C2H2O4,4983234621314.334,1e-155,5.988540948054784e+16,455167927404703.3,1.614745417054935e-30,2.4048998894138287,0.5029,80464,99.99999991014349
C2-,3917219449610.964,4.8561243502036305e-65,8656313597664622.0,108908208370402.33,5.563871714175814e-08,6743510193.242015,0.8984,143744,99.99999994640957
C2H4O1,2405232684205.0684,3.8550710429701175e-113,5.057341520269577e+16,193090033127261.8,9.566156518094058e-28,1335.3202685522012,0.5519375,88310,99.99999996867749
N1O2-,740410799575.8636,3.045343613148238e-80,2267264754534878.0,24110863608122.87,7.79908053519757e-15,45900571.64859594,0.809625,129540,99.99999997553229
S1-,629437876133.8624,2.5173938575311394e-21,638981104286816.2,10882475452232.988,9.958906545326917,91735552557.2702,1.0,160000,99.9999999813597
N1O1+,525755130240.2352,3.5731878566534273e-43,2344990384108610.0,21156412565838.71,1.9347795513494515e-05,55296655.51852439,0.9859125,157746,99.9999999862272
e-,516400660240.1049,2.8080871060530457e-08,362998986607088.4,6849620388398.124,2984879.5477334834,269913848414.5172,1.0,160000,99.9999999910081
C1O2-,354979849751.4812,8.307103930817265e-78,1213979908221301.5,12309173391562.531,1.4259189095889078e-06,460117271.829169,0.98385625,157417,99.99999999429455
O2-,209832192491.0889,3.000646533495854e-101,385754706662032.06,4598639614815.903,8.792772805180413e-12,277244455.9026006,0.87324375,139719,99.9999999962372
H1-,153573100773.4614,4.083092070441564e-36,442569016870008.9,4567506191514.313,0.0228053229177934,862110128.2150195,0.99995625,159993,99.99999999765899
H3O1+,150387438467.56253,6.934701284916291e-99,1420568266826974.5,8949820751856.955,3.237827329548046e-12,690009.955868437,0.90318125,144509,99.9999999990513
H1O1-,80149119206.54335,1.7156849239811364e-73,243175945140039.2,2037702866841.7612,1.4730038267740135e-05,844313717.8752625,0.9890375,158246,99.99999999979332
