temperature,pressure,group_index,point_index,comp_H,comp_O,comp_C,comp_N,comp_S,species,observed,predicted,pred_over_obs,obs_over_pred,ratio_max,log10P
909.3736276589754,20.14659906391213,1.6826237319569658e-19,1.4395780817854041e-18,0.0399042372573053,3.039798782773345e-06,0.6195767933231219,0.3378751158222701,0.0026408137985198,N2,0.11040852,7.886986e-08,7.143458e-07,1399864.5,1399864.5,1.304201743656499
1186.3330996129569,87661.3998434868,1.178921912142423e-24,1.392874407309011e-23,0.5028111499437332,0.0007101764772528,0.4958174734988114,0.0006217363627291,3.946371747326529e-05,N2,2.0540212e-09,0.00020233792,98460.26,1.015144e-05,98460.26,4.942808401515839
759.6433057786612,0.0097122469919811,1.257343236677567e-17,8.08292080721293e-17,8.667834674910193e-09,0.577241059653419,1.726968706744492e-05,1.0568829410848465e-07,0.4227415563033848,N2,0.041583642,3.630701e-07,8.731079e-06,114533.06,114533.06,-2.012680281593107
891.071196317675,185.3855970135217,7.675213767446243e-22,5.9354986468250926e-21,7.244825435935328e-07,0.5647324362373947,3.091722766682069e-07,8.162267797303543e-08,0.4352664484851071,N2,0.038552232,5.281297e-07,1.3699069e-05,72997.516,72997.516,2.268075989891912
1071.1879341734025,456.62719923944394,1.0364222575879386e-20,8.841977385047102e-20,0.0036732156356915,0.5183782266229557,0.477441794094837,0.0005065498581038,2.1378841179265546e-07,N2,0.0005279339,4.423814e-07,0.0008379485,1193.3881,1193.3881,2.659561776904079
791.8990009827249,99.22938126766012,3.636020720719775e-20,2.1044847201741731e-19,9.609710743858256e-05,0.5099194868845078,0.4712075571274338,8.052886063073229e-05,0.018696330019989,N2,8.538255e-05,3.403794e-09,3.986522e-05,25077.154,25077.154,1.9966402833752372
1516.6701778392312,23235.03191504789,6.844118986217886e-24,8.254422292468845e-23,0.5130159248376333,9.761078126030594e-05,0.4868454951467871,6.245147579024424e-06,3.4724086740164586e-05,N2,5.177082e-10,2.0381754e-05,39293.297,2.540057e-05,39293.297,4.366143273351133
739.7966011588259,0.1315717263257816,2.717070182707751e-17,1.428402610337789e-16,0.0011417282649905,0.1411885907217252,0.380918825453617,0.0204134376211134,0.4563374179385537,N2,0.019733798,7.3254982e-06,0.00037121584,2693.8503,2693.8503,-0.8808374269830072
778.001973565715,21861.195845516555,1.7197166579085885e-22,9.728682807597157e-22,0.0195796422650228,0.0437865596030934,0.636503150170619,0.3001302843632809,3.635979839807451e-07,N2,0.021102611,2.651241e-07,1.2563569e-05,79594.92,79594.92,4.339673914928603
818.6798321107292,292.9924311621026,1.427387965041329e-20,7.406986196971221e-20,0.0852698414962083,0.0589029707272788,0.56704583734028,0.2887767179525624,4.632483670586452e-06,N2,0.12221093,9.5569594e-05,0.0007820053,1278.7637,1278.7637,2.466856401422401
