temperature,pressure,group_index,point_index,comp_H,comp_O,comp_C,comp_N,comp_S,species,observed,predicted,rel_err%,log10P
2777.2145226612347,0.2517539451203809,1.6753637073451864e-17,1.1346781472474216e-15,0.6289096946909254,0.0210656146631235,0.3226918919050252,0.027332792239021,6.501904790211973e-09,N2,0.014077365,0.011164934,20.688751,-0.5990237150917732
1017.4258939441684,2.4005977162471415e-09,7.021791604109124e-10,1.4219127998320978e-08,5.858885462357022e-07,0.0178737910037162,0.9087316947876536,0.0733668240437813,2.7104276302468416e-05,N2,0.013853655,0.017171448,23.948864,-8.619680611393127
1203.661377884464,5.60522091733862e-06,3.557755675868404e-13,8.686853441912021e-12,8.238237183301067e-05,0.9854727685562584,6.936035896890488e-07,0.0144175225675323,2.663290078651642e-05,N2,0.014387679,0.015408847,7.097512,-5.2514072659788384
1392.514691471553,0.0017149519416126,1.3452789921402905e-15,3.7892024945284846e-14,1.4938575481681236e-05,0.9863466984304262,2.819125304238492e-06,0.0135503357295273,8.520813926047395e-05,N2,0.013443648,0.013448506,0.036134377,-2.7657480457581767
1821.8040528102483,1.0477380557285594,2.880802771669167e-18,1.118711742998193e-16,0.0001733573240157,0.0006121827177953,0.2705432320056827,0.0100779762043426,0.7185932517481636,N2,0.013735297,0.01744644,27.019018,0.020252718553130978
2034.7327783218352,16449.73959483032,2.049334649460295e-22,9.495250542499363e-21,0.0001339076221073,1.658080828990679e-08,1.1742145793726218e-05,0.008378721136594,0.9914756125146964,N2,0.014088831,0.014442005,2.5067677,4.216159027305848
2221.967434238514,4.6096722168675694e-09,7.986052424184186e-10,3.753444639366568e-08,0.0607029740677407,0.0485120496624506,0.000784683175334,0.026790911448168,0.8632093816463066,N2,0.013576543,0.014540936,7.103376,-8.336329955188834
2411.3319687518574,1.4624811315184056e-05,2.7316890453335083e-13,1.3931614131200893e-11,0.0010263306159074,7.827440469929558e-07,0.9860329165268092,0.0129399634873558,6.625880557766191e-09,N2,0.013040142,0.01351947,3.6757846,-4.834909728343423
947.5146027876988,1.7458054332050415e-09,9.741295152401936e-10,1.5136474006039937e-08,0.0440282460870737,0.9291269580167976,0.014163808094433,0.0126808783691246,1.0943257108285077e-07,N2,0.013154986,0.013808084,4.9646378,-8.758004159252375
1895.3158862473545,4.517145327248689e-06,7.530848998021457e-13,2.850136697712735e-11,6.647962689218393e-05,0.622721684296812,0.151515294530686,0.0105372850491423,0.2151592564964674,N2,0.013488217,0.009476804,29.740128,-5.3451359369332065
2516.668509491351,9.974552293108041e-08,4.5285507331411674e-11,2.2538248648787192e-09,0.1164733847331295,0.5932518781929927,0.2588201056353029,0.0211491025449033,0.0103055288936715,N2,0.014378821,0.014461048,0.5718647,-7.001106588472919
2600.092860344665,192.92120888193375,2.4189972401915076e-20,1.32672694788965e-18,0.6009665797276729,0.1594535980062637,0.2167025578198112,0.0228695065393346,7.757906917683927e-06,N2,0.014961101,0.018487584,23.57101,2.285379974632326
1340.3429991229857,3.3749437137939517e-06,7.676455459237972e-13,1.8204165803335764e-11,9.372949705313534e-07,8.57926672844467e-06,0.0663787837910799,0.0140305649222662,0.9195811347249548,N2,0.014987262,0.01632331,8.914554,-5.471733465793707
2829.748609669165,7.075632954214417e-08,7.730255518956059e-11,4.014211258772182e-09,0.9103452818357644,0.0322206280895097,0.030701267631558,0.0267327993495069,2.3093661033668844e-08,N2,0.013035158,0.019933216,52.918877,-7.150234704040123
