species,MAE,R2,max_abun
H1O1+,0.0004948427,0.7528608441352844,0.06666667
C1N1+,0.000495075,0.7510551810264587,0.06666667
H1+,0.00049903407,0.7408592700958252,0.06666667
C2N1O1,0.0004998433,0.2852317690849304,0.05882353
C1H1+,0.00050563004,0.7327900528907776,0.06666667
C1+,0.0005184917,0.7164548635482788,0.06666667
O2+,0.0005226153,0.7127094268798828,0.06666667
N2+,0.0005236994,0.7187909483909607,0.11493865
C2O1,0.00052441674,0.20499932765960693,0.09036042
C3N2O1,0.00052895816,0.20657485723495483,0.082505986
N2O1+,0.0005419124,0.7106422185897827,0.06666667
S6,0.0005875573,0.9411963820457458,0.6274729
C2H2O4,0.0005992382,-0.054483890533447266,0.274684
C2N1,0.0007114653,0.10431057214736938,0.09036042
C1O1S1,0.00078194076,0.5458968877792358,0.4455018
C,0.00078601966,0.9970043301582336,0.99992454
S,0.000796402,0.9994105100631714,0.999984
O,0.00080519356,0.9990213513374329,0.99999624
N1O1+,0.00084143336,0.23378926515579224,0.06666667
H2O4S1,0.00095886044,-2.0626871585845947,0.541463
C1S1,0.0009674031,0.9932110905647278,0.9731799
H,0.0010035336,0.9982137680053711,0.9999964
C3O2,0.0010058284,0.5389569997787476,0.8652215
C2N2,0.0010166038,-2.469081401824951,0.11493865
C1H1O1+,0.0010292225,-0.23505425453186035,0.06666667
S1+,0.0010749461,-0.4950728416442871,0.06666667
C3,0.0011778629,0.9975497722625732,0.9824473
C3H1,0.0011788011,0.9827788472175598,0.88962156
H3N1,0.0013038773,0.4706398844718933,0.98242486
O3S1,0.0013153515,0.563441812992096,0.9624578
C2H4,0.0016224916,0.4009089469909668,0.9999794
H3O1+,0.0020069515,-11.516678810119629,0.06666667
C2H2,0.002105965,0.9189813733100891,0.9837118
S2,0.0021226513,0.9973913431167603,0.9999831
H2S1,0.0021718412,0.9326525926589966,0.99720645
C1S2,0.0024974323,0.9656972885131836,0.991319
S8,0.0029305266,0.9382560849189758,0.9999571
O2S1,0.0033932363,0.8413618206977844,0.9989246
H2O1,0.0035403497,0.9130377769470215,0.9997738
O2,0.0038862473,0.9899105429649353,0.99999976
C4N2,0.003931206,0.7285975813865662,0.99997354
C1O1,0.003963537,0.9453163743019104,0.9989979
C1H4,0.0054988745,0.40460824966430664,0.99999994
H2,0.005916764,0.9790019392967224,1.0
C1O2,0.0064430726,0.7211569547653198,0.9999996
C5,0.007888048,0.9252675771713257,0.9999996
N2,0.01585204,0.9383168816566467,1.0
